series_id,series_uuid,series_name,start_date,end_date,ingest_date,reading_type_name,reading_type_id,unit_of_measure,unit_of_mesasure_id,value
7,7ec388ab-ef57-4cd0-8166-24bca0f9352d,winged-chital-fascinatin,2025-12-08T23:58:24.663837Z,2025-12-09T00:58:24.663837Z,2025-12-09T01:03:08.663837Z,Active Energy Import,1,kWh,1,3.9993408547063387
2,b4d8a596-2928-4ad7-b979-0355d497e87a,impossible-guppy-purple,2025-12-09T07:03:12.663837Z,2025-12-09T08:03:12.663837Z,2025-12-09T08:04:11.663837Z,Active Energy Import,1,kWh,1,4.352592849183835
1,cb345846-7a9d-4e68-ac49-ff10ea7e597c,noisy-civet-wise-wolf-ea,2025-12-09T22:52:45.663837Z,2025-12-09T23:52:45.663837Z,2025-12-09T23:54:01.663837Z,Active Energy Import,1,kWh,1,1.2331375384699172
1,cb345846-7a9d-4e68-ac49-ff10ea7e597c,noisy-civet-wise-wolf-ea,2025-12-08T16:52:45.663837Z,2025-12-08T17:52:45.663837Z,2025-12-08T17:55:42.663837Z,Active Energy Import,1,kWh,1,0.5110513825992435
18,407833b8-9e2c-4a0f-a9fa-0787b87cc227,solid-pigeon-versatile-f,2025-12-09T21:54:04.663837Z,2025-12-09T22:54:04.663837Z,2025-12-09T22:57:19.663837Z,Active Power,2,kW,2,5.545407454244312
10,6cbf975e-4fb3-4a99-8066-0a149d2c05ac,sceptical-gharial-soft-t,2025-12-09T18:45:40.663837Z,2025-12-09T19:45:40.663837Z,2025-12-09T19:48:30.663837Z,Active Energy Import,1,kWh,1,0.5796080071547893
21,f6fdc037-53d7-4d3e-b26e-487c7210c280,vague-dugong-vagabond-ge,2025-12-09T14:59:27.663837Z,2025-12-09T15:59:27.663837Z,2025-12-09T16:03:01.663837Z,Active Energy Import,1,kWh,1,4.116696997541953
17,613be624-235c-4fd2-94f0-4a1400ce1530,attentive-chicken-fresh,2025-12-08T20:55:57.663837Z,2025-12-08T21:55:57.663837Z,2025-12-08T21:58:37.663837Z,Current,4,A,4,31.853187166057126
13,35c0fc0d-02da-498c-a6b5-43f530bd6f6d,grinning-dinosaur-romant,2025-12-09T18:41:22.663837Z,2025-12-09T19:41:22.663837Z,2025-12-09T19:42:36.663837Z,Active Power,2,kW,2,3.886458311501425
19,5c53ecb7-c068-4ded-819b-d25b04a961ee,daffodil-eagle-outgoing,2025-12-10T07:38:58.663837Z,2025-12-10T08:38:58.663837Z,2025-12-10T08:40:46.663837Z,Current,4,A,4,1.7522510263649238
13,35c0fc0d-02da-498c-a6b5-43f530bd6f6d,grinning-dinosaur-romant,2025-12-08T23:41:22.663837Z,2025-12-09T00:41:22.663837Z,2025-12-09T00:45:26.663837Z,Active Power,2,kW,2,9.628932928688776
15,901c7b14-f438-4763-9a4b-839e5ae0ef47,quirky-nightingale-succe,2025-12-10T03:07:54.663837Z,2025-12-10T04:07:54.663837Z,2025-12-10T04:12:49.663837Z,Active Energy Import,1,kWh,1,2.981118861025461
5,562d78d0-9a63-4283-a55b-fe97f393afe5,imposing-ibis-thick-unic,2025-12-09T16:51:44.663837Z,2025-12-09T17:51:44.663837Z,2025-12-09T17:56:24.663837Z,Active Power,2,kW,2,6.868571469145267
7,7ec388ab-ef57-4cd0-8166-24bca0f9352d,winged-chital-fascinatin,2025-12-08T20:58:24.663837Z,2025-12-08T21:58:24.663837Z,2025-12-08T22:01:29.663837Z,Active Energy Import,1,kWh,1,1.4930632618619173
7,7ec388ab-ef57-4cd0-8166-24bca0f9352d,winged-chital-fascinatin,2025-12-08T19:58:24.663837Z,2025-12-08T20:58:24.663837Z,2025-12-08T21:02:33.663837Z,Active Energy Import,1,kWh,1,0.029480417919965363
24,cbe7b26e-e5ec-43c8-9cc3-2a2839ce2152,amazing-macaque-sturdy-d,2025-12-09T18:08:32.663837Z,2025-12-09T19:08:32.663837Z,2025-12-09T19:10:19.663837Z,Voltage,3,V,3,240.23644237634957
11,ad41d5b8-7705-43b9-a904-94c6b4dc9e5c,vehement-cuscus-dazzling,2025-12-10T11:28:34.663837Z,2025-12-10T12:28:34.663837Z,2025-12-10T12:28:57.663837Z,Active Energy Import,1,kWh,1,3.087297308013616
