id,name,asOf,start,end,ingestedAt,quantity
2563,cooperative-urchin-f,2026-03-25T10:53:48.046243Z,2026-03-25T09:53:48.046243Z,2026-03-25T10:53:48.046243Z,2026-03-25T10:56:14.046243Z,88.10623104879944
2165,tuscan-orangutan-puz,2026-03-08T20:53:48.046243Z,2026-03-08T19:53:48.046243Z,2026-03-08T20:53:48.046243Z,2026-03-08T20:56:42.046243Z,92.56298606525934
6472,efficient-snail-humo,2026-09-04T07:53:48.046243Z,2026-09-04T06:53:48.046243Z,2026-09-04T07:53:48.046243Z,2026-09-04T07:57:33.046243Z,25.002519852231043
2333,optimistic-bee-emera,2026-03-15T20:53:48.046243Z,2026-03-15T19:53:48.046243Z,2026-03-15T20:53:48.046243Z,2026-03-15T20:55:54.046243Z,91.78825316935655
2361,orange-antelope-thou,2026-03-17T00:53:48.046243Z,2026-03-16T23:53:48.046243Z,2026-03-17T00:53:48.046243Z,2026-03-17T00:55:25.046243Z,14.742016695063365
1012,cyber-caracal-merry,2026-01-19T19:53:48.046243Z,2026-01-19T18:53:48.046243Z,2026-01-19T19:53:48.046243Z,2026-01-19T19:58:29.046243Z,25.512019663701025
239,brown-basilisk-charc,2025-12-18T14:53:48.046243Z,2025-12-18T13:53:48.046243Z,2025-12-18T14:53:48.046243Z,2025-12-18T14:56:41.046243Z,66.5366356349804
1744,russet-quetzal-porce,2026-02-19T07:53:48.046243Z,2026-02-19T06:53:48.046243Z,2026-02-19T07:53:48.046243Z,2026-02-19T07:57:43.046243Z,1.033895895232384
860,porcelain-mayfly-loy,2026-01-13T11:53:48.046243Z,2026-01-13T10:53:48.046243Z,2026-01-13T11:53:48.046243Z,2026-01-13T11:58:36.046243Z,17.953685561572307
1318,puzzling-lobster-spi,2026-02-01T13:53:48.046243Z,2026-02-01T12:53:48.046243Z,2026-02-01T13:53:48.046243Z,2026-02-01T13:58:41.046243Z,7.3008345634189675
3242,practical-dogfish-se,2026-04-22T17:53:48.046243Z,2026-04-22T16:53:48.046243Z,2026-04-22T17:53:48.046243Z,2026-04-22T17:55:28.046243Z,98.69780971583927
914,honored-crocodile-im,2026-01-15T17:53:48.046243Z,2026-01-15T16:53:48.046243Z,2026-01-15T17:53:48.046243Z,2026-01-15T17:57:05.046243Z,56.915165331409355
8542,onyx-degu-rational-t,2026-11-29T13:53:48.046243Z,2026-11-29T12:53:48.046243Z,2026-11-29T13:53:48.046243Z,2026-11-29T13:55:03.046243Z,41.77229938386498
1636,electric-gaur-chubby,2026-02-14T19:53:48.046243Z,2026-02-14T18:53:48.046243Z,2026-02-14T19:53:48.046243Z,2026-02-14T19:53:57.046243Z,63.56468788086968
3341,giga-partridge-olive,2026-04-26T20:53:48.046243Z,2026-04-26T19:53:48.046243Z,2026-04-26T20:53:48.046243Z,2026-04-26T20:56:27.046243Z,25.768875626585174
8229,heavy-labrador-dashi,2026-11-16T12:53:48.046243Z,2026-11-16T11:53:48.046243Z,2026-11-16T12:53:48.046243Z,2026-11-16T12:58:30.046243Z,23.558169236765824
3483,futuristic-otter-tau,2026-05-02T18:53:48.046243Z,2026-05-02T17:53:48.046243Z,2026-05-02T18:53:48.046243Z,2026-05-02T18:55:49.046243Z,27.038301120200625
2851,meticulous-ape-simpl,2026-04-06T10:53:48.046243Z,2026-04-06T09:53:48.046243Z,2026-04-06T10:53:48.046243Z,2026-04-06T10:58:28.046243Z,61.13646156208527
5232,golden-warthog-tower,2026-07-14T15:53:48.046243Z,2026-07-14T14:53:48.046243Z,2026-07-14T15:53:48.046243Z,2026-07-14T15:56:47.046243Z,95.37806972601228
